Sr No,Company Name,Role,Link
60,Meta,"Research Engineer, Language - Reality Labs",https://www.metacareers.com/v2/jobs/1554466278472918/
61,Meta,"Research Scientist, Machine Perception (PhD)",https://www.metacareers.com/v2/jobs/1474241126834718/
62,Meta,Codec Avatars Research Scientist,https://www.metacareers.com/v2/jobs/3107749836028643/
63,Meta,"Postdoctoral Researcher, Central Applied Science, Adaptive Experimentation (PhD)",https://www.metacareers.com/v2/jobs/831683095490690/
64,Meta,"Research Scientist, Generative AI - Speech & Audio",https://www.metacareers.com/v2/jobs/1074039200587310/
65,Meta,Infrastructure Solutions Program Manager,https://www.metacareers.com/v2/jobs/1474239409850093/
66,Meta,Codec Avatars Research Engineer,https://www.metacareers.com/v2/jobs/753033720169057/
67,Meta,"Research Scientist, Machine Learning (PhD)",https://www.metacareers.com/v2/jobs/1634364230647352/
68,Meta,"Research Scientist, AI Core Machine Learning (PhD)",https://www.metacareers.com/v2/jobs/977644880353326/
69,Meta,AI Research Scientist - CoreML (Technical Leadership),https://www.metacareers.com/v2/jobs/290152057043184/
70,Meta,"Software Engineering Manager, AR AI",https://www.metacareers.com/v2/jobs/822589426448409/
71,Meta,Engineering Manager - Generative AI,https://www.metacareers.com/v2/jobs/909664097471687/
72,Meta,Postdoctoral Researcher (PhD) - Human Inspired AI,https://www.metacareers.com/v2/jobs/7341072685930103/
73,Meta,"AI Research Scientist, Computer Vision - XR People Generation",https://www.metacareers.com/v2/jobs/1783427452080505/
74,Meta,Fundamental Research Scientist - Generative AI,https://www.metacareers.com/v2/jobs/937697421103036/
75,Meta,"Research Scientist, CTRL Labs",https://www.metacareers.com/v2/jobs/746356527654889/
76,Meta,"AI Research Scientist, Computer Vision",https://www.metacareers.com/v2/jobs/3640454012865535/
77,Claude AI,"Research Engineer, Knowledge Bases",https://boards.greenhouse.io/anthropic/jobs/4021137008
78,Claude AI,"Research Engineer, London",https://boards.greenhouse.io/anthropic/jobs/4020286008
79,Claude AI,"Research Engineer, Model Evaluations",https://boards.greenhouse.io/anthropic/jobs/4017312008
80,Claude AI,"Research Engineer, Prompting",https://boards.greenhouse.io/anthropic/jobs/4017544008
81,Claude AI,"Research Engineer / Research Scientist, Finetuning",https://boards.greenhouse.io/anthropic/jobs/4020080008
82,Claude AI,"Research Engineer / Research Scientist, Finetuning (London)",https://boards.greenhouse.io/anthropic/jobs/4020081008
83,Claude AI,"Research Engineer / Scientist, Alignment Science",https://boards.greenhouse.io/anthropic/jobs/4009165008
84,Claude AI,"Research Engineer / Scientist, Alignment Science (London)",https://boards.greenhouse.io/anthropic/jobs/4020297008
85,Claude AI,Research Scientist,https://boards.greenhouse.io/anthropic/jobs/4019740008
86,Claude AI,"Research Scientist, Interpretability",https://boards.greenhouse.io/anthropic/jobs/4020159008
87,Claude AI,"Research Scientist, Interpretability (London)",https://boards.greenhouse.io/anthropic/jobs/4020296008
88,Claude AI,Research Scientist (London),https://boards.greenhouse.io/anthropic/jobs/4020714008
89,Claude AI,Resident,https://boards.greenhouse.io/anthropic/jobs/4019511008
90,Claude AI,"Resident, London",https://boards.greenhouse.io/anthropic/jobs/4020718008
91,Claude AI,Software Engineer,https://boards.greenhouse.io/anthropic/jobs/4020354008
92,Claude AI,"Software Engineer, Interpretability",https://boards.greenhouse.io/anthropic/jobs/4044276008
93,Claude AI,"Software Engineer, Interpretability, London",https://boards.greenhouse.io/anthropic/jobs/4044277008
94,Claude AI,"Software Engineer, London",https://boards.greenhouse.io/anthropic/jobs/4020717008
95,Claude AI,"Team Manager, Interpretability",https://boards.greenhouse.io/anthropic/jobs/4009173008
96,Claude AI,"Team Manager, Interpretability (London)",https://boards.greenhouse.io/anthropic/jobs/4020295008
97,Claude AI,"Software Engineer, Claude.AI",https://boards.greenhouse.io/anthropic/jobs/4042814008
98,Claude AI,"Engineering Manager, Data Platform",https://boards.greenhouse.io/anthropic/jobs/4020189008
99,Claude AI,Performance Engineer,https://boards.greenhouse.io/anthropic/jobs/4020350008
100,Claude AI,"Software Engineer, Inference",https://boards.greenhouse.io/anthropic/jobs/4020356008
101,Claude AI,"Team Manager, LLM Training Research",https://boards.greenhouse.io/anthropic/jobs/4020125008
102,Claude AI,Data Operations Lead,https://boards.greenhouse.io/anthropic/jobs/4032561008
103,Claude AI,"Machine Learning Systems Engineer, Finetuning Infrastructure",https://boards.greenhouse.io/anthropic/jobs/4018647008
104,Claude AI,Research Engineer,https://boards.greenhouse.io/anthropic/jobs/4019739008
105,Claude AI,"Research Engineer, Applied Finetuning",https://boards.greenhouse.io/anthropic/jobs/4023361008
106,Claude AI,"Research Engineer, Human Computer Interfaces",https://boards.greenhouse.io/anthropic/jobs/4030766008
107,Claude AI,"Research Engineer, Human Computer Interfaces",https://boards.greenhouse.io/anthropic/jobs/4030764008
108,Claude AI,"Research Engineer, Interpretability",https://boards.greenhouse.io/anthropic/jobs/4020307008
109,Claude AI,"Research Engineer, Interpretability",https://boards.greenhouse.io/anthropic/jobs/4020305008
110,Claude AI,"Research Engineer, Knowledge Bases",https://boards.greenhouse.io/anthropic/jobs/4017331008
111,Open AI,"Backend Engineer, Sora",https://openai.com/careers/backend-engineer-sora/
112,Open AI,Distributed Systems/ML Engineer,https://openai.com/careers/distributed-systemsml-engineer/
113,Open AI,"Distributed Training Engineer, Sora",https://openai.com/careers/distributed-training-engineer-sora/
114,Open AI,DL SW/HW Codesign Engineer,https://openai.com/careers/dl-swhw-codesign-engineer/
115,Open AI,"Engineering Manager, AI Inference Systems",https://openai.com/careers/engineering-manager-ai-inference-systems/
116,Open AI,"Engineering Manager, Fine-Tuning API",https://openai.com/careers/engineering-manager-fine-tuning-api/
117,Open AI,"Engineering Manager, GPU Platform",https://openai.com/careers/engineering-manager-gpu-platform/
118,Open AI,"Engineering Manager, Model Scheduler",https://openai.com/careers/engineering-manager-model-scheduler/
119,Open AI,"Engineering Manager - Supercomputing - Storage, Scalability, Scheduling",https://openai.com/careers/engineering-manager-supercomputing-storage-scalability-scheduling/
120,Open AI,GPU Kernels Engineer,https://openai.com/careers/gpu-kernels-engineer/
