Srno|Company|Role|Description|Link;1|Apple|Machine Learning Software Engineer|Here is the comma-separated list of required skills and experience:

biometrics/face tracking/gaze tracking, modern C++ & Python, algorithm implementation and optimization with platform constraints, computer vision / machine learning product development and delivery, working with sophisticated software stacks, 3 years of professional software development experience.|https://jobs.apple.com/en-us/details/200540712/machine-learning-software-engineer;2|Apple|Mixed-Signal IP Machine Learning Engineer|Machine learning, Python, C, VLSI fundamentals, signal processing, logistic regression, deep neural networks, reinforcement learning, algorithms, data structures, math background, firmware development, system architecture, validation, cross-functional team collaboration.|https://jobs.apple.com/en-us/details/200488665/mixed-signal-ip-machine-learning-engineer;3|Apple|Senior Machine Learning Software Engineer|Here is the list of required skills and experience:

problem-solving skills, interpersonal skills, 5+ years of experience in building machine learning and deep learning-based software solutions, hands-on experience with large language models and transformer-based models, experience in Search and Retrieval, Recommendations and Ranking, robust applied software methodology, process, and quality skills, ability to excel in a fast-paced development team, Swift/Objective-C applications for iOS or macOS, optimizing ML and Deep Learning algorithms for embedded systems.|https://jobs.apple.com/en-us/details/200493299/senior-machine-learning-software-engineer;4|Apple|Pre-Silicon Machine Learning Compiler Engineer|Here is the list of required skills and experience:

SoC acceleration for Artificial Intelligence, SW/HW parallelism, asynchronous processing, embedded systems, real time OS development, low level OS/driver programming, C/C++, software design, problem solving, debugging, Deep Learning workloads, communication, teamwork|https://jobs.apple.com/en-us/details/200520036/pre-silicon-machine-learning-compiler-engineer;5|Apple|Pre-Silicon Machine Learning Compiler Engineer|Here is the list of required skills and experience:

SoC and/or GPU acceleration for Artificial Intelligence, SW/HW parallelism, asynchronous processing, embedded systems, real time OS development, low level OS/driver programming, C/C++ programming, software design, problem solving, debugging, Deep Learning workloads, communication, teamwork.|https://jobs.apple.com/en-us/details/200520040/pre-silicon-machine-learning-compiler-engineer;6|Apple|Mixed-Signal IP Machine Learning Engineer|Here is the list of required skills and experience:

Machine learning, Python programming, C programming (plus), VLSI fundamentals (plus), signal processing (plus), Electrical Engineering degree, 3+ years experience.|https://jobs.apple.com/en-us/details/200488661/mixed-signal-ip-machine-learning-engineer;7|Apple|Senior Machine Learning Engineer, Health|Here is the list of required skills and experience:

Objective-C, Swift, C/C++, machine learning, ML model deployment, lifecycle management, embedded systems, consumer digital health and wellness products, MS or PhD in Computer Science or similar field.|https://jobs.apple.com/en-us/details/200517355/senior-machine-learning-engineer-health;8|Apple|AIML - Sr Machine Learning Engineer, Data & Machine Learning Innovation|Here is the list of required skills and experience:

Python, PyTorch, Jax, machine learning, natural language processing, search and recommendation, large language model domain, generative AI, multi-modal LLM, data-centric machine learning, 5+ years of demonstrated experience with developing and evaluating ML applications, expertise in understanding and improving data quality.|https://jobs.apple.com/en-us/details/200540664/aiml-sr-machine-learning-engineer-data-machine-learning-innovation;9|Apple|AIML - Machine Learning Engineer or Scientist, Machine Learning Platform & Infrastructure|Here is the list of required skills and experience:

Extensive experience in ML, GenAI, LLM, designing/architecting scalable user-facing products, strong coding skills, MS or PhD in Computer Science or related experience.|https://jobs.apple.com/en-us/details/200537666/aiml-machine-learning-engineer-or-scientist-machine-learning-platform-infrastructure;10|Apple|Computer Vision and Machine Learning Engineer|Here is the list of required skills and experience:

3+ years industry experience developing deep learning models for computer vision, solid understanding and experience in deep learning and classical computer vision, strong mathematical background, ability to read and understand research literature, strong programming, debugging, and design skills, MS/PhD in Computer Vision, Machine Learning, Computer Science or related fields.|https://jobs.apple.com/en-us/details/200517926/computer-vision-and-machine-learning-engineer;11|Apple|Machine Learning Applied Scientist|Here is the list of required skills and experience:

5+ years of industry or strong academic experience in CVML, Experience with state-of-the-art Generative AI models, Multi-modal LLMs, contrastive learning, Foundation models, and/or Diffusion-based large vision models, Strong understanding of Python, Proficiency using ML toolkits (e.g. PyTorch), Strong software engineering skills to build scalable and robust infrastructure for deep learning data, modeling, and evaluation systems, Comfortable researching current ML literature and math including optimization methods and modeling techniques, Experience in the transition of a prototype into a final product, Excellent communication and collaboration skills in a cross-functional setting.|https://jobs.apple.com/en-us/details/200550562/machine-learning-applied-scientist;12|Apple|Senior Machine Learning Software Engineer, Creativity Apps|Here is the list of required skills and experience:

Machine learning and deep learning techniques, ML model lifecycle, improving data quality via active learning, uncovering patterns in data, Python, PyTorch, JAX, or TensorFlow, Swift (preferred), Core ML and iOS/macOS machine learning development (plus), large datasets and distributed pipelines, hardware accelerated compute, software stack including source control, build systems, and testing, problem-solving skills, communication and collaboration skills, MS or PhD in Computer Science, Machine Learning or related field, 3-5 years of industry experience delivering products using state-of-the-art computer vision and machine learning technologies.|https://jobs.apple.com/en-us/details/200549567/senior-machine-learning-software-engineer-creativity-apps;13|Apple|Senior Machine Learning Engineer - SIML, ISE|Here is the list of required skills and experience:

Machine Learning Engineering, Applied Science, Python (Scikit learn, Jupyter), PyTorch, SQL-based languages, Git, Generative AI, Large Language Models (Transformer architecture, diffusion models, CLIP and various visual and text embedding models, GPT and BERT style language models), data science, analytics, statistical data analysis, experience in crafting, conducting, analyzing, and interpreting experiments and deep-dive investigations.|https://jobs.apple.com/en-us/details/200551872/senior-machine-learning-engineer-siml-ise;14|Apple|Machine Learning Engineer, Applied Machine Learning|Here is the list of required skills and experience:

Machine learning, deep learning (including LLMs), natural language processing, programming skills using C/C++, Python, PyTorch, Tensorflow, HuggingFace, preparing and collecting data for training/analysis, ensuring data quality, hands-on experience working with large language models, hands-on experience applying common machine learning optimization techniques, vector stores, ranking and retrieval techniques, Bachelors or MS in Computer Science or equivalent with Artificial Intelligence, Machine Learning, Data Science or related field, 5+ years of proven programming skills.|https://jobs.apple.com/en-us/details/200541348/machine-learning-engineer-applied-machine-learning;15|Apple|AIML - Sr Engineering Program Manager, Machine Learning|Here is the list of required skills and experience:

Machine learning, program management, project timelines, risk management, cross-functional team collaboration, data collection and evaluation, instrumentation, data science, data engineering, research, analytical skills, verbal and written communication skills, negotiation, presentation, influence, EE/CS/CE degree or equivalent, 8+ years of experience in driving large scale programs building machine learning powered products.|https://jobs.apple.com/en-us/details/200551494/aiml-sr-engineering-program-manager-machine-learning;16|Apple|AIML - Machine Learning Engineer, Siri Information Intelligence|Here is the list of required skills and experience:

